LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2025-05-27 10:56:37,1900-01-00 00:00:00,,8C:53:C3:C6:53:3F,-88, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,Ziroskop 2,8C:53:C3:C6:53:3F,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,,B8:69:F4:2E:8F:DF,-71, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,,BA:69:F4:2E:8F:DF,-71, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,,C4:E9:84:A6:11:E8,-32, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,,76:4D:28:57:A6:58,-86, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,,78:96:82:54:AA:C8,-87, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,,64:D1:54:A4:36:5F,-69, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-34, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,,0E:09:8D:C7:EB:FD,-35,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 10:56:37,1900-01-00 00:00:00,,74:4D:28:57:A6:58,-87, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,Ziroskop 2,8C:53:C3:C6:53:3F,-89, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:58,-86, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-31, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-69, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF,B8:69:F4:2E:8F:DF,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:37,1900-01-00 00:00:00,ETF Student,BA:69:F4:2E:8F:DF,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,,3C:84:6A:D1:1E:6B,-65, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,Embedded Lab,3C:84:6A:D1:1E:6B,-66, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,,3E:84:6A:E1:1E:6B,-67, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-71, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,,00:31:92:80:4F:2B,-86, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:38,1900-01-00 00:00:00,DARKSIDE,C4:E9:84:A6:11:E8,-35, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:39,1900-01-00 00:00:00,SC-LUKAVICA,64:D1:54:A4:36:5F,-70, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:39,1900-01-00 00:00:00,ETF Student,76:4D:28:57:A6:58,-85, WPA2  WPA ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:40,1900-01-00 00:00:00,,B4:4C:3B:3B:5F:A7,-70,,0.000000,0.000000,0.000,0.000,Client
2025-05-27 10:56:41,1900-01-00 00:00:00,,28:2C:02:22:20:5C,-71, ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:41,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2025-05-27 10:56:41,1900-01-00 00:00:00,beacongw_282C0222205C,28:2C:02:22:20:5C,-73, WPA2 ,0.000000,0.000000,0.000,0.000,AP
